City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
kajaani,42.1859,127.479,48.06,61,100,2.29,CN,1619446182
hilo,14.2,24.6667,93.0,5,82,6.15,SD,1619446183
mahebourg,38.7333,-27.0667,64.0,67,40,3.74,PT,1619445998
bannu,-34.5322,20.0403,69.8,60,0,4.63,ZA,1619446185
san jeronimo,67.6333,134.6333,29.23,98,100,1.89,RU,1619446185
cruzeiro do sul,58.4825,24.8152,41.0,100,100,0.89,EE,1619446186
lompoc,16.5833,82.0167,91.4,55,20,3.6,IN,1619446186
salinopolis,48.1667,-1.6667,63.0,39,0,6.17,FR,1619446187
provideniya,45.5334,-77.0994,37.0,34,1,6.17,CA,1619446187
kenai,35.7333,140.8333,50.0,57,20,3.6,JP,1619445928
cao bang,-24.4167,150.5,60.49,73,0,2.77,AU,1619446188
songjianghe,51.7522,-1.256,55.0,43,0,4.63,GB,1619446188
kutum,-5.1989,-35.4608,86.0,66,40,5.66,BR,1619446189
praia da vitoria,4.1213,43.8894,87.98,40,98,2.79,SO,1619446190
belushya guba,-28.7667,114.6,64.4,68,97,3.09,AU,1619446191
bredasdorp,-26.5333,153.1,64.0,91,1,0.45,AU,1619446191
batagay,37.1041,-113.5841,61.0,29,40,3.09,US,1619446170
bossembele,50.6789,156.125,29.79,94,100,8.72,RU,1619446192
karaul,-20.1883,32.6236,80.98,24,11,2.12,ZW,1619446193
tori,27.8333,113.15,59.0,100,90,2,CN,1619446194
jinchengjiang,28.7519,54.5444,78.96,26,89,5.49,IR,1619446194
amalapuram,-34.5838,-60.9433,62.37,65,0,1.99,AR,1619446195
rennes,28.6868,69.9534,101.61,7,5,3.58,PK,1619446195
eganville,-24.8667,113.6333,69.8,83,0,2.28,AU,1619446195
samusu,10.5669,72.642,85.37,68,0,2.39,IN,1619446195
hasaki,-41.0667,145.9167,51.01,81,8,2.24,AU,1619446196
biloela,13.5928,-89.8275,77.0,83,0,1.16,SV,1619446150
oxford,30.4397,48.1664,102.2,19,0,5.14,IR,1619446197
touros,70.6333,147.9167,23.11,94,100,2.77,RU,1619446198
xuddur,-5.2246,145.7966,76.75,86,97,0.92,PG,1619446198
geraldton,41.7355,-111.8344,37.4,93,90,1.54,US,1619446199
coolum beach,-42.8794,147.3294,51.8,71,6,2.57,AU,1619446199
saint george,-38.6533,178.0042,50.0,74,0,1.34,NZ,1619446199
severo-kurilsk,-38.7,-73.1667,51.8,64,90,1.03,CL,1619446199
chipinge,42.8,93.45,56.08,12,26,3.39,CN,1619446200
mys shmidta,4.9247,6.2642,95.22,43,56,1.94,NG,1619446200
zhuzhou,-3.4667,102.5333,68.7,96,30,1.36,ID,1619446201
darab,37.7167,-25.4333,62.6,72,75,5.66,PT,1619446201
grand river south east,5.8808,-10.0467,91.4,62,75,2.06,LR,1619446206
junin,-20.5167,57.5167,78.8,78,75,7.2,MU,1619446206
rojhan,55.7435,-97.8558,26.6,100,90,1.54,CA,1619446208
carnarvon,-45.4167,167.7167,37.4,88,75,0.82,NZ,1619446208
kavaratti,-20.3297,-40.2925,84.2,70,0,3.6,BR,1619446115
burnie,42.4308,130.6434,43.74,88,100,3.14,RU,1619446209
acajutla,43.2039,140.7703,32.0,68,6,4,JP,1619446210
khorramshahr,4.1363,96.1285,79.5,83,100,2.21,ID,1619446210
tsihombe,-12.1688,26.3894,70.0,81,74,1.11,ZM,1619446211
lolua,47.0667,51.8667,62.6,63,40,7,KZ,1619446212
chokurdakh,46.6166,10.7002,55.99,67,75,2.57,IT,1619446157
madang,-37.8811,147.981,48.0,92,0,3.65,AU,1619446214
logan,58.1089,49.9161,37.24,91,100,7.7,RU,1619446214
hobart,50.4001,-105.5344,33.8,100,90,1.03,CA,1619446215
gisborne,-2.5744,150.7967,81.84,74,97,1.37,PG,1619446215
carahue,5.3833,-52.95,79.02,88,100,4.51,GF,1619446215
hami,22.2855,114.1577,75.0,83,100,0.45,HK,1619446215
yenagoa,-14.4086,-56.4461,71.38,87,100,2.71,BR,1619446216
curup,-15.1961,12.1522,86.0,58,20,5.14,AO,1619446217
vila franca do campo,4.9333,-52.3333,78.8,94,75,2.57,GF,1619446218
buchanan,37.9281,102.6414,47.79,37,9,1.93,CN,1619446218
souillac,-30.1811,-50.2056,66.74,66,61,6.07,BR,1619446031
thompson,-33.7333,-70.75,64.99,55,0,0.34,CL,1619446220
te anau,26.7617,-81.4384,78.01,69,1,2.06,US,1619446221
vila velha,6.8833,73.1,85.24,70,19,2.91,MV,1619446208
khasan,-9.8,-139.0333,79.59,69,100,6.26,PF,1619446222
yoichi,-8.8368,13.2343,86.0,74,20,6.17,AO,1619445805
meulaboh,64.75,177.4833,19.4,93,100,3,RU,1619446223
solwezi,-10.4544,161.9205,79.18,84,100,2.34,SB,1619446224
balykshi,38.5167,-28.7,64.4,72,20,5.14,PT,1619446224
hunza,63.05,179.3167,22.21,96,58,1.88,RU,1619446224
lasa,14.8961,-24.4956,72.46,74,26,5.19,CV,1619446224
nizhneyansk,-5.0892,-81.1144,69.8,83,75,8.23,PE,1619446225
lakes entrance,40.2833,97.2,50.7,14,89,4.12,CN,1619446225
kumeny,66.8333,70.8333,34.88,91,100,7.06,RU,1619446225
moose jaw,44.0622,131.1207,45.16,60,77,1.61,CN,1619446226
kavieng,38.4167,77.2406,70.12,12,1,2.11,CN,1619446226
sinnamary,-20.4597,-66.825,42.87,18,0,4.48,BO,1619446227
victoria,-22.8833,-43.1036,84.0,83,75,1.54,BR,1619446227
marcona,-23.1862,27.4886,85.71,8,0,0.59,BW,1619446228
diamantino,51.219,22.6962,39.2,70,20,1.54,PL,1619446228
namibe,-0.9516,122.7875,77.31,83,85,1.2,ID,1619446228
aflu,17.3367,96.4797,86.0,74,40,4.63,MM,1619446229
cayenne,-1.8283,-44.8683,87.55,59,93,2.53,BR,1619446229
wuwei,69.7008,170.3133,14.68,95,100,1.2,RU,1619446229
cidreira,44.6453,-63.5724,53.6,94,75,6.17,CA,1619445783
buin,20.7833,97.0333,65.46,81,90,1.69,MM,1619446230
labelle,29.8458,-90.1067,73.99,78,75,4.63,US,1619446230
dhidhdhoo,22.8909,-109.9124,69.01,25,40,2.57,MX,1619446230
atuona,69.4865,88.3972,11.91,88,100,3.77,RU,1619446231
luanda,-25.2406,130.9889,64.4,29,0,4.12,AU,1619446231
bolungarvik,51.5,95.6,32.63,72,86,1.61,RU,1619446231
anadyr,28.3667,129.4833,63.79,67,93,5.33,JP,1619446231
kirakira,49.1919,-98.1014,37.4,80,100,3.09,CA,1619446232
ribeira grande,35.1333,140.3,55.4,62,20,5.66,JP,1619446232
beringovskiy,42.1584,-72.3287,45.0,45,40,8.75,US,1619446098
sao filipe,8.9333,8.6,98.62,32,59,1.96,NG,1619446233
paita,33.194,-82.5271,66.2,48,1,5.14,US,1619446234
yumen,69.3833,178.4167,18.46,94,100,1.88,RU,1619446234
yar-sale,26.5881,127.9761,69.8,68,1,1.54,JP,1619446235
dongning,-3.8004,102.2655,78.53,88,51,2.61,ID,1619446150
shache,45.0205,-93.218,41.0,81,75,5.66,US,1619446235
uyuni,-6.8844,112.2051,80.17,80,9,3.25,ID,1619446235
niteroi,16.08,97.5675,81.48,77,83,2.74,MM,1619446236
machaneng,-23.7781,-45.3581,76.95,68,68,1.14,BR,1619446237
swidnik,50.9667,9.8,55.99,33,0,0.89,DE,1619446238
luwuk,-35.1167,139.2667,50.0,97,1,1.18,AU,1619446165
bago,39.1667,25.9333,64.4,59,20,5.14,GR,1619446239
cururupu,71.9667,102.5,15.51,91,100,4.77,RU,1619446240
pevek,42.0304,-8.1588,63.0,76,93,1.34,PT,1619446241
halifax,35.3667,132.7667,51.8,62,75,8.23,JP,1619446241
taunggyi,4.423,-7.3528,84.79,71,57,3.77,CI,1619446242
sentyabrskiy,-34.0033,24.7314,66.99,73,100,1.34,ZA,1619446242
estelle,-36.4,174.6667,55.0,92,7,0.45,NZ,1619446243
cabo san lucas,23.2667,69.6667,92.48,31,17,5.9,IN,1619446243
talnakh,-0.6,73.0833,83.53,63,15,2.31,MV,1619446243
yulara,63.8424,-22.4338,48.2,66,0,1.54,IS,1619446243
saryg-sep,-9.9133,-63.0408,76.86,81,95,2.72,BR,1619446244
naze,28.8947,64.4101,93.33,9,79,2.38,PK,1619446244
morden,-13.8833,167.55,81.64,76,96,4.65,VU,1619446245
katsuura,-22.6667,167.4833,73.71,70,81,9.55,NC,1619445976
palmer,-20.2208,-70.1431,66.2,59,0,2.57,CL,1619446084
wamba,51.0333,-4.2167,57.0,56,8,0.45,GB,1619446246
avera,68.2191,-135.0107,10.4,85,92,3.6,CA,1619446246
leningradskiy,43.5407,-116.5635,45.0,100,75,3.09,US,1619446247
nago,57.5058,-1.7981,51.01,76,90,5.66,GB,1619446247
palabuhanratu,-31.6333,-60.7,69.01,53,0,1.34,AR,1619446188
bengkulu,-14.4667,132.2667,80.6,74,40,2.57,AU,1619446247
saint anthony,68.5333,146.4167,6.84,91,26,2.79,RU,1619446248
labuhan,1.7427,98.7792,79.41,85,100,0.71,ID,1619446248
kyaikkami,38.421,-121.4238,45.0,87,1,1.42,US,1619446249
wahran,12.0708,1.7889,106.41,17,34,1.89,BF,1619446250
nguiu,18.1725,120.5953,77.79,73,19,3.78,PH,1619446251
ilhabela,13.35,-15.75,100.71,12,7,3.38,GM,1619446252
bebra,-3.4167,114.85,82.4,78,90,2.57,ID,1619446252
murray bridge,42.5466,-6.5962,63.0,65,94,1.79,ES,1619446164
eresos,-33.6971,-53.4616,66.42,54,10,5.62,UY,1619446254
khatanga,24.4667,54.3667,95.0,36,0,4.12,AE,1619446181
vila,43.3236,145.575,32.86,68,5,6.11,JP,1619446254
izumo,7.5264,-12.505,89.37,57,42,5.26,SL,1619446255
louisbourg,50.6996,-127.4199,42.8,100,40,2.06,CA,1619446256
tabou,42.4165,-122.8345,41.0,92,91,0.63,US,1619446226
kruisfontein,48.0056,91.6419,39.76,22,90,2.01,MN,1619446256
warkworth,47.6666,-52.7314,50.0,46,90,10.8,CA,1619446257
bhuj,41.5388,-8.6151,68.0,68,20,3.6,PT,1619446257
hithadhoo,6.0367,80.217,82.11,77,29,1.76,LK,1619446257
grindavik,-10.6167,150.6667,82.08,76,99,2.89,PG,1619446258
ariquemes,39.4735,-118.7774,37.4,60,40,1.76,US,1619446246
dalbandin,55.3422,-131.6461,33.8,80,1,0.71,US,1619446258
sola,-8.4667,118.7167,74.44,81,29,2.05,ID,1619446259
vao,45.3167,55.2,91.76,11,26,7.24,KZ,1619446260
iquique,-31.5783,-53.3811,64.0,92,0,3.58,BR,1619446261
northam,33.4918,-80.8557,66.99,48,1,3.09,US,1619446261
aklavik,65.441,52.1498,40.21,94,100,0.93,RU,1619446262
nampa,21.5453,-77.2644,82.4,65,0,3.09,CU,1619446262
peterhead,22.5667,59.5289,91.96,36,0,1.86,OM,1619446263
santa fe,48.9167,2.3333,64.0,29,0,6.69,FR,1619445971
katherine,-15.8631,-38.8828,82.4,65,40,5.66,BR,1619446264
belaya gora,-20.7377,116.8463,78.33,47,0,1.2,AU,1619446264
sibolga,65.75,150.85,8.92,88,18,3.19,RU,1619446265
laguna,-23.8597,35.3472,82.4,69,40,4.12,MZ,1619446265
diapaga,64.1835,-51.7216,37.4,93,75,4.12,GL,1619446224
san nicolas,12.5847,-81.7006,86.0,62,20,4.63,CO,1619446266
nioro,36.9559,36.2,68.0,80,0,7.6,TR,1619446266
martapura,-13.8483,136.4192,77.0,100,100,2.48,AU,1619446267
ponferrada,42.3709,-71.1828,48.2,46,1,9.26,US,1619446267
chuy,36.1683,54.348,81.21,22,97,1.34,IR,1619446267
abu dhabi,47.4167,26.2167,50.0,50,0,3.09,RO,1619446267
nemuro,51.381,58.9813,48.2,100,90,1,RU,1619446268
bonthe,-46.2817,169.8464,43.0,69,88,0.45,NZ,1619446269
port hardy,-20.5833,17.4333,81.57,17,0,2.39,NA,1619446269
jackson,11.6667,92.75,82.4,74,46,2.81,IN,1619446270
hovd,57.2645,16.4484,46.99,40,100,1.79,SE,1619446270
torbay,-16.4833,-151.75,80.06,70,0,1.16,PF,1619446270
barcelos,-14.9003,50.2788,78.96,82,28,4.52,MG,1619446271
galle,33.7333,135.9833,47.48,62,24,2.56,JP,1619446271
samarai,36.2946,-76.2511,62.01,44,0,7.2,US,1619446234
fallon,50.0162,22.6778,46.99,51,100,2.24,PL,1619446271
ketchikan,26.1247,127.6694,69.8,64,20,2.57,JP,1619446271
bima,13.2167,-59.5167,80.6,57,75,9.77,BB,1619446272
beyneu,28.615,-96.6261,73.99,83,40,4.63,US,1619446252
pinheiro machado,44.0333,20.45,63.0,42,0,4.63,RS,1619446273
orangeburg,67.667,12.6934,39.2,60,75,3.6,NO,1619446273
ust-tsilma,21.4612,-71.1419,78.89,71,65,5.19,TC,1619446083
nuevitas,41.0982,120.7479,51.96,45,6,4.01,CN,1619446274
sur,-9.8756,-56.0861,75.2,100,90,1.54,BR,1619446274
saint-denis,21.3469,-158.0858,73.4,78,1,2.06,US,1619446028
belmonte,47.7106,0.511,64.99,39,100,7.2,FR,1619446275
karratha,6.1241,81.1185,82.4,94,20,2.57,LK,1619446275
zyryanka,-8.4667,140.3333,77.9,89,100,3.21,ID,1619446275
maxixe,-23.85,151.25,68.0,68,0,3.6,AU,1619446276
nuuk,-45.8742,170.5036,44.01,68,99,6.71,NZ,1619446276
san andres,5.3991,100.3638,86.0,74,20,1.54,MY,1619445984
erzin,22.5206,-79.4669,82.4,69,75,3.09,CU,1619446277
alyangula,-29.6842,-53.8069,60.8,77,20,1.54,BR,1619445906
watertown,-28.783,32.0377,74.46,69,0,2.88,ZA,1619446191
damghan,43.4583,39.9244,51.8,93,90,3,RU,1619446278
baia,8,98.25,87.01,94,75,4.12,TH,1619446278
novoorsk,29.9576,122.298,60.49,88,54,4.48,CN,1619446279
kaitangata,43.0645,44.7417,57.2,77,75,6,RU,1619446279
okakarara,51.6667,135.7,40.8,63,87,1.92,RU,1619446279
port blair,70.0167,135.6,26.82,98,100,0.59,RU,1619446280
oskarshamn,42.207,-71.6856,46.0,45,1,7.2,US,1619446280
faanui,61.67,96.37,25.25,90,9,1.38,RU,1619446281
antalaha,-0.8667,134.0833,78.69,82,99,1.43,ID,1619446282
shingu,41.2351,1.8119,60.01,81,100,1.26,ES,1619446283
elizabeth city,9.2667,-3,100.36,30,98,2.25,CI,1619446283
jaroslaw,40.8028,29.4307,60.8,44,40,2.06,TR,1619446283
itoman,60.7253,114.9278,21.63,83,87,2.64,RU,1619446284
bathsheba,-20.3167,118.5667,69.8,68,0,3.6,AU,1619446224
port lavaca,39.1672,8.5222,69.8,72,40,6.69,IT,1619446285
gornji milanovac,-25.2986,152.8535,64.0,82,0,3.09,AU,1619446285
sorland,65.9667,78.3667,33.87,99,100,6.62,RU,1619446286
cockburn town,70.0311,20.9714,33.8,86,40,2.57,NO,1619446286
nanpiao,64.8945,-23.7142,41.0,66,11,4.78,IS,1619446286
alta floresta,55.4167,22.6167,40.12,71,99,5.79,LT,1619446287
makakilo city,0.5,29.4667,65.89,92,100,2.13,CD,1619446287
marcon,-29.9533,-71.3436,55.4,94,90,2.06,CL,1619445994
hambantota,59.0925,57.8008,36.0,100,100,1.79,RU,1619446287
merauke,43.7501,-81.7165,37.4,56,35,3.6,CA,1619446288
gladstone,28.017,-97.5169,77.0,83,75,7.72,US,1619446288
dunedin,33.5928,-7.6192,75.2,77,40,8.23,MA,1619446164
butterworth,51.5001,-107.0513,41.0,60,48,3.09,CA,1619446290
caibarien,50.5667,116.25,36.81,80,100,3.67,RU,1619446291
ruatoria,68.6949,15.4162,37.4,81,75,5.14,NO,1619446291
santa maria,-41.4122,175.5153,57.2,72,45,5.66,NZ,1619446168
richards bay,23.1742,112.2809,73.99,99,100,1.09,CN,1619446292
orel-izumrud,17.25,-88.7667,84.2,78,0,3.09,BZ,1619446293
phuket,41.1415,-73.3579,48.99,43,40,6.17,US,1619446294
shenjiamen,78.2186,15.6401,23.0,63,20,6.69,SJ,1619446294
oktyabrskoye,42.7762,-9.0603,64.0,83,30,4.02,ES,1619446295
berezovyy,69.2167,-51.1,51.8,37,75,7.72,GL,1619446295
ust-kuyga,-11.3847,43.2844,87.8,66,20,4.12,KM,1619446295
grafton,-26.6481,15.1594,68.74,75,25,4.85,NA,1619446079
baykit,60.3964,-1.353,44.6,93,75,8.23,GB,1619446296
manokwari,52.3195,38.3453,51.03,56,99,6.59,RU,1619446296
sitges,-16.9167,145.7667,73.4,94,90,5.14,AU,1619446192
bouna,8.4054,48.4845,88.48,40,100,1.85,SO,1619446298
gebze,-15.7667,128.7333,75.2,88,100,1.43,AU,1619446298
lensk,-0.8833,131.25,80.11,81,79,1.87,ID,1619446300
port hedland,63.1115,7.732,44.6,42,0,4.63,NO,1619446158
carbonia,46.55,125.1167,63.37,18,100,8.02,CN,1619446301
hervey bay,58.965,-3.296,46.4,93,90,5.66,GB,1619446301
urengoy,-20.2333,164.0167,76.26,61,17,10.04,NC,1619446302
skjervoy,12.5776,-87.027,80.6,74,20,2.66,NI,1619446302
olafsvik,10.9995,122.6711,78.12,80,62,2.74,PH,1619446302
skaudvile,11.5544,-1.7736,106.39,17,85,1.78,BF,1619446303
beni,25.5198,90.2201,83.43,23,46,1.34,IN,1619446303
coquimbo,3.8678,17.9892,97.21,29,15,1.65,CF,1619446303
severnyy-kospashskiy,-5.2511,-42.2103,87.55,56,52,2,BR,1619446304
goderich,-12.0667,134.2667,74.55,93,100,2.66,AU,1619446304
san patricio,7.6833,124.6833,67.96,91,98,0.31,PH,1619446305
casablanca,-43.3002,-65.1023,62.94,46,45,2.83,AR,1619446306
outlook,65.3667,64.6667,37.2,100,100,1.91,RU,1619446306
sherlovaya gora,43.4065,-124.2243,46.4,93,90,3.09,US,1619446307
takob,46.4333,26.4,45.0,47,42,1.06,RO,1619446307
sortland,-1.3959,120.7524,77.47,89,85,1.98,ID,1619446307
waipawa,6.3005,-10.7969,91.4,62,75,2.06,LR,1619446308
lubu,-18.3667,21.85,86.43,22,81,1.49,BW,1619446308
belmopan,28.7167,78.2833,91.54,7,0,3.29,IN,1619446308
westport,62.2266,-6.589,48.2,81,75,4.63,FO,1619446309
longyearbyen,9.2319,-80.0867,84.2,74,40,5.14,PA,1619446310
canitas,-12.7406,-60.1458,69.8,88,75,4.63,BR,1619446310
muros,-19.0595,-169.9187,69.8,100,56,1.03,NU,1619446310
